Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On
Banquettes,banquettes,68a38efbf5f79a62dbd5d20d,66ec4fa5d4e30b5b222904a7,68a38f5cf5f79a62dbd5f7fe,false,false,Mon Aug 18 2025 20:38:52 GMT+0000 (Coordinated Universal Time),Mon Aug 18 2025 20:39:17 GMT+0000 (Coordinated Universal Time),Mon Aug 18 2025 20:54:50 GMT+0000 (Coordinated Universal Time)
Bespoke,bespoke,68a38efbf5f79a62dbd5d20d,66ec4fa5d4e30b5b222904a7,68a732668e3f26a62e4367fc,false,false,Thu Aug 21 2025 14:51:18 GMT+0000 (Coordinated Universal Time),Thu Aug 21 2025 14:51:20 GMT+0000 (Coordinated Universal Time),Fri Aug 22 2025 15:55:42 GMT+0000 (Coordinated Universal Time)
Case Goods,case-goods,68a38efbf5f79a62dbd5d20d,66ec4fa5d4e30b5b222904a7,68a38f65e3aebdbfea867040,false,false,Mon Aug 18 2025 20:39:01 GMT+0000 (Coordinated Universal Time),Mon Aug 18 2025 20:39:14 GMT+0000 (Coordinated Universal Time),Mon Aug 18 2025 20:54:50 GMT+0000 (Coordinated Universal Time)
Guest Rooms,guest-rooms,68a38efbf5f79a62dbd5d20d,66ec4fa5d4e30b5b222904a7,68a5ed7bd291b65ad0348a66,false,false,Wed Aug 20 2025 15:44:59 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 15:45:11 GMT+0000 (Coordinated Universal Time),Fri Aug 22 2025 15:55:42 GMT+0000 (Coordinated Universal Time)
Joinery,joinery,68a38efbf5f79a62dbd5d20d,66ec4fa5d4e30b5b222904a7,68a38f07ddb16fa7e118d67e,false,false,Mon Aug 18 2025 20:37:27 GMT+0000 (Coordinated Universal Time),Mon Aug 18 2025 20:37:30 GMT+0000 (Coordinated Universal Time),Mon Aug 18 2025 20:54:50 GMT+0000 (Coordinated Universal Time)
Millwork,millwork,68a38efbf5f79a62dbd5d20d,66ec4fa5d4e30b5b222904a7,68a38f10a33a6e9503d84870,false,false,Mon Aug 18 2025 20:37:36 GMT+0000 (Coordinated Universal Time),Mon Aug 18 2025 20:37:40 GMT+0000 (Coordinated Universal Time),Mon Aug 18 2025 20:54:50 GMT+0000 (Coordinated Universal Time)
Outdoor Furniture,outdoor-furniture,68a38efbf5f79a62dbd5d20d,66ec4fa5d4e30b5b222904a7,68a38f419d21b672b5ac7a14,false,false,Mon Aug 18 2025 20:38:25 GMT+0000 (Coordinated Universal Time),Mon Aug 18 2025 20:38:28 GMT+0000 (Coordinated Universal Time),Mon Aug 18 2025 20:54:50 GMT+0000 (Coordinated Universal Time)
Prototyping,prototyping,68a38efbf5f79a62dbd5d20d,66ec4fa5d4e30b5b222904a7,68a38f4c5774494263c74ac4,false,false,Mon Aug 18 2025 20:38:36 GMT+0000 (Coordinated Universal Time),Mon Aug 18 2025 20:53:28 GMT+0000 (Coordinated Universal Time),Mon Aug 18 2025 20:54:50 GMT+0000 (Coordinated Universal Time)
Soft Seating,soft-seating,68a38efbf5f79a62dbd5d20d,66ec4fa5d4e30b5b222904a7,68a38f1cc0d21d9b346d25d8,false,false,Mon Aug 18 2025 20:37:48 GMT+0000 (Coordinated Universal Time),Mon Aug 18 2025 20:53:36 GMT+0000 (Coordinated Universal Time),Mon Aug 18 2025 20:54:50 GMT+0000 (Coordinated Universal Time)
